Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
2/3/2020,Everglow,Dun Dun,,,https://youtu.be/NoYKBAajoyo,Girl,Major
2/3/2020,GFRIEND,Crossroads,교차로,,https://youtu.be/kx5TWKPE5sU,Girl,Major
2/3/2020,Dreamcatcher,Red Sun,,,https://youtu.be/RKBJVdjOHUY,Girl,Minor
2/2/2020,Kim Jaehwan,Goodbye,안녕,,https://youtu.be/he_XQNuWhis,Boy Solo,Major
1/30/2020,Yezi,My Gravity,,,https://youtu.be/YimQ4mB0uiM,Girl Solo,Major
1/29/2020,ATEEZ,Answer (Japanese Ver.),,,https://youtu.be/xU7vogho4R0,Boy,Japanese
1/29/2020,Golden Child,Without You,,ZANYBROS,https://youtu.be/UjkNOC9h3_g,Boy,Major
1/28/2020,Siyeon,Paradise,,,https://youtu.be/JDmZ6oguzzM,Girl Solo,Special
1/28/2020,SECHSKIES,All For You,,,https://youtu.be/X-jbgKPEf40,Boy,Major
1/28/2020,Super Junior,2YA2YAO!,,,https://youtu.be/Uqi34thogl4,Boy,Major
1/24/2020,Nature,I'm So Pretty (Japanese ver.),,,https://youtu.be/CBsOb4R1AHw,Girl,Japanese
1/23/2020,"Dynamic Duo, Chen",Alone,혼자,,https://youtu.be/5MTiAh2EouI,Boy,Special
1/23/2020,Super Junior,I Think I (Japanese ver.),,,https://youtu.be/yB5kc4VGo5E,Boy,Japanese
1/22/2020,Gavy NJ,I’m in Sinchon,신촌에 왔어,,https://youtu.be/Kta0alJhOmY,Girl,Major
1/21/2020,"Paul Kim, Chungha",Loveship,,,https://youtu.be/dM5gMsePq-o,Co-ed,Special
1/20/2020,Kiara,Boss,,,https://youtu.be/f5pTBgvXJeA,Girl Solo,Major
1/17/2020,OnlyOneOf,meSAGE,,,https://youtu.be/Ed9Znq_Kpk0,Boy,Minor
1/17/2020,BTS,Black Swan,,,https://youtu.be/vGbuUFRdYqU,Boy,Minor
1/15/2020,CRAXY,My Universe,,,https://youtu.be/Y1f5hl78m30,Girl,Minor
1/15/2020,TVXQ!,Manazashi,,,https://youtu.be/jVlzyC5WFZ0,Boy,Japanese
1/15/2020,Taeyeon,Dear Me,내게 들려주고 싶은 말,,https://youtu.be/bho0m505qVA,Girl Solo,Major
1/14/2020,TXT,Run Away (Japanese Ver.),9と4分の3番線で君を待つ,,https://youtu.be/2u8ExBR-RbQ,Boy,Japanese
1/13/2020,2Z,My 1st Hero,,,https://youtu.be/MLm4PCzBreE,Boy,Major
1/13/2020,Zico,Anysong,아무노래,,https://youtu.be/UdyjeUwPz_E,Boy Solo,Major
1/12/2020,Hara,Hello,,,https://youtu.be/C9V7Cd0SmKc,Girl Solo,Japanese
1/12/2020,ENOi,Cheeky,,,https://youtu.be/IYSlVTlv4bQ,Boy,Major
1/10/2020,ANS,Say My Name,,,https://youtu.be/-NGoD8l-fp4,Girl,Major
1/9/2020,Ong Seung Wu,We Belong,,,https://youtu.be/AkE_L1Lj4Lc,Boy Solo,Major
1/8/2020,Amber,Stay Calm,,,https://youtu.be/tBWh4IAHgWQ,Girl Solo,Major
1/8/2020,DreamNote,Wish,바라다,,https://youtu.be/DQ4Ni7KsHoI,Girl,Major
1/7/2020,Verivery,Lay Back,,,https://youtu.be/X2RyGcufXKw,Boy,Major
1/7/2020,Red Velvet,Remember Forever,,,https://youtu.be/aVMs0cO-dMQ,Girl,Minor
1/6/2020,B.O.Y,My Angel,,,https://youtu.be/QphFqZ7tf9o,Boy,Major
1/6/2020,Dustin,Burn,,,https://youtu.be/5t5lpeKTrRU,Boy,Major
1/6/2020,Younha,Dark Cloud,먹구름,,https://youtu.be/hrO-BgLjJ-Q,Girl Solo,Major
1/6/2020,ATEEZ,Answer,,,https://youtu.be/yW7wZX3DUaY,Boy,Major
1/5/2020,SF9,Good Guy,,,https://youtu.be/n8zQysKciao,Boy,Major
1/4/2020,M.O.N.T,Tired,피곤,,https://youtu.be/qdJwaiZBV5E,Boy,Major
1/2/2020,MCND,Top Gang,,,https://youtu.be/4fNgJkio31c,Boy,Major
1/2/2020,TST,Count down,,,https://youtu.be/O9sgPPXoPsI,Boy,Major
1/1/2020,DONGKIZ,All I Need is You,,,https://youtu.be/Ds_SRpB2-jQ,Boy,Major
12/30/2019,Momoland,Thumbs Up,,,https://youtu.be/TbuP2ypiTRc,Girl,Major
12/26/2019,Jiyeon,Take A Hike,,,https://youtu.be/tJNS1W0YmdE,Girl Solo,Major
12/23/2019,Red Velvet,Psycho,,,https://youtu.be/uR8Mrt1IpXg,Girl,Major
12/17/2019,Oneus,808,,,https://youtu.be/5N3Wl-07Pws,Boy,Japanese
12/15/2019,Woojoo jjokkomi,White Winter,,,https://youtu.be/2ttQmpeSk4o,Boy,Special
12/13/2019,Kim Jaehwan,The Time I Need,시간이 필요해,,https://youtu.be/t_aAAx2gtvY,Boy Solo,Major
12/11/2019,BoA,Starry Night faet. Crush,,,https://youtu.be/u3ZYUsd1vRU,Girl Solo,Major
12/9/2019,Stray Kids,Levanter,바람,,https://youtu.be/Fpgd3ac3_nM,Boy,Major
12/6/2019,JBJ95,Only One,,,https://youtu.be/2KkPu680fQc,Boy,Major
12/4/2019,Park Jihoon,360,,,https://youtu.be/6Fibpj267H0,Boy Solo,Major
12/3/2019,U-Kwon,Fuego feat. RGP,,,https://youtu.be/MyAoZfwWdgk,Boy Solo,Major
12/2/2019,Hi Cutie,Lovely Day,러블리데이,,https://youtu.be/Y1ENebCORMk,Girl,Minor
11/30/2019,J.Y. Park,"Fever feat. Superbee, BIBI",,,https://youtu.be/IePbjLAUvf0,Boy Solo,Major
11/28/2019,Limitless,Wish Wish,,,https://youtu.be/-KBg_KnB7SU,Boy,Major
11/28/2019,Newkidd,Come,컴,,https://youtu.be/XIfhwwAG1Oo,Boy,Major
11/27/2019,EXO,Obsession,,,https://youtu.be/uxmP4b2a0uY,Boy,Major
11/26/2019,AOA,Come See Me,날 보러 와요,,https://youtu.be/ixxWWKX4S_8,Girl,Major
11/25/2019,Kang Daniel,Touchin',,,https://youtu.be/aSGisoCdLPc,Boy Solo,Major
11/20/2019,ASTRO,Blue Flame,,,https://youtu.be/wS7anrSXKrY,Boy,Major
11/19/2019,CIX,Numb,순수의 시대,,https://youtu.be/xHx-kNjEYZM,Boy,Major
11/19/2019,WJSN,As You Wish,이루리,,https://youtu.be/2Q9G6R2hKIQ,Girl,Major
11/18/2019,Golden Child,Wannabe,,ZANYBROS,https://youtu.be/AnSAGpoqLPg,Boy,Major
11/18/2019,IU,Blueming,블루밍,,https://youtu.be/D1PvIWdJ8xo,Girl Solo,Major
11/14/2019,Mamamoo,Hip,,,https://youtu.be/KhTeiaCezwM,Girl,Major
11/13/2019,IN2IT,ULlala: Poisoning,ULlala: 중독,,https://youtu.be/5UEASmBf89o,Boy,Major
11/13/2019,Stray Kids,Astronaut,,,https://youtu.be/ZnpEBYvgiAU,Boy,Major
11/12/2019,Nature,OOPSIE (My Bad),,,https://youtu.be/F95zh5JMi_Q,Girl,Major
11/12/2019,Seven O'Clock,Midnight Sun,,,https://youtu.be/lKmUjW0xAlY,Boy,Major
11/10/2019,ATEEZ,UTOPIA (Japanese Ver.),,,https://youtu.be/ZLQm-8Z6C8M,Boy,Japanese
11/6/2019,The Boyz,Tattoo,,,https://youtu.be/gHp42n13nPs,Boy,Japanese
11/6/2019,1TEAM,Make This,,,https://youtu.be/nJ42EuzsWw0,Boy,Major
11/5/2019,BVNDIT,Dumb,,Rigend Film,https://youtu.be/n5bqzXD4WTc,Girl,Major
11/5/2019,Dawn,Money,,,https://youtu.be/Kr8-EFdl6gg,Boy Solo,Major
